date,open,high,low,close,volume,mkt_cap
2017-10-10,0.557554,0.575712,0.548996,0.555214,7701180,220246000
2017-10-09,0.603543,0.6039800000000001,0.547139,0.557142,6657950,237202000
2017-10-08,0.587396,0.605634,0.5773510000000001,0.6045010000000001,5854700,229724000
2017-10-07,0.599816,0.604416,0.572312,0.588553,6250760,233480000
2017-10-06,0.6067060000000001,0.6089680000000001,0.591342,0.5998439999999999,6785670,234980000
2017-10-05,0.599336,0.6207520000000001,0.57553,0.606157,8038660,230827000
2017-10-04,0.631988,0.634008,0.5853079999999999,0.601539,5449300,242210000
2017-10-03,0.652812,0.668738,0.616319,0.6312300000000001,7114830,248943000
2017-10-02,0.707986,0.7142390000000001,0.636093,0.6549729999999999,8299880,268425000
2017-10-01,0.721765,0.725224,0.674128,0.7077600000000001,8938190,272363000
2017-09-30,0.7186819999999999,0.752134,0.714021,0.7216090000000001,10179600,269796000
2017-09-29,0.816964,0.835309,0.7048760000000001,0.717272,15499400,305136000
2017-09-28,0.63294,0.8167369999999999,0.6307159999999999,0.815693,22672400,234912000
2017-09-27,0.560208,0.636917,0.5575,0.633043,11395600,207167000
2017-09-26,0.5709810000000001,0.584476,0.552298,0.561128,5789570,209783000
2017-09-25,0.546514,0.574288,0.5430550000000001,0.570774,5592430,199970000
2017-09-24,0.5802430000000001,0.5829949999999999,0.546018,0.5462739999999999,7534280,210746000
2017-09-23,0.5707899999999999,0.594251,0.56001,0.576697,4809880,206350000
2017-09-22,0.547718,0.579056,0.534403,0.569846,4556540,197242000
2017-09-21,0.615818,0.615818,0.5449069999999999,0.546153,6972060,219928000
2017-09-20,0.6518579999999999,0.654721,0.612827,0.612827,6087520,231481000
2017-09-19,0.708194,0.708576,0.6476,0.653363,5520750,250257000
2017-09-18,0.650438,0.706701,0.650438,0.704878,9065170,228544000
2017-09-17,0.624291,0.667683,0.5775020000000001,0.6485920000000001,8685770,218104000
2017-09-16,0.666501,0.685285,0.606857,0.6275649999999999,5602950,231741000
2017-09-15,0.60337,0.683713,0.52467,0.664289,13121900,208567000
2017-09-14,0.727394,0.754454,0.5733159999999999,0.603217,13131300,249825000
2017-09-13,0.841224,0.841224,0.671642,0.7289939999999999,12370500,287468000
2017-09-12,0.7300939999999999,0.8531690000000001,0.728287,0.8360770000000001,15475800,248239000
2017-09-11,0.739553,0.7529680000000001,0.715178,0.730869,7763470,250148000
2017-09-10,0.7933939999999999,0.811077,0.707969,0.7397630000000001,9494440,266891000
2017-09-09,0.83378,0.8341850000000001,0.752267,0.791608,10281100,278741000
2017-09-08,0.9777459999999999,0.9777459999999999,0.7712289999999999,0.832764,18650200,325195000
2017-09-07,0.9219459999999999,1.0,0.853389,0.9772719999999999,22912100,304901000
2017-09-06,0.891735,1.07,0.8530049999999999,0.914359,26208300,293040000
2017-09-05,0.848252,0.918675,0.712454,0.8837079999999999,30273900,277362000
2017-09-04,1.25,1.25,0.792624,0.850526,43045400,406952000
2017-09-03,1.24,1.29,1.18,1.25,22618600,399540000
2017-09-02,1.3,1.43,1.19,1.23,38741300,417177000
2017-09-01,1.3,1.33,1.26,1.3,25853000,415441000
2017-08-31,1.23,1.33,1.22,1.3,22926100,388849000
2017-08-30,1.31,1.33,1.19,1.23,24068700,411683000
2017-08-29,1.34,1.35,1.31,1.31,18993200,417121000
2017-08-28,1.35,1.36,1.32,1.34,18414400,417816000
2017-08-27,1.36,1.37,1.34,1.35,18124100,418196000
2017-08-26,1.38,1.39,1.35,1.36,16466000,421157000
2017-08-25,1.38,1.43,1.35,1.38,20444500,419363000
2017-08-24,1.41,1.42,1.35,1.38,18034600,426382000
2017-08-23,1.29,1.53,1.28,1.41,36567800,384808000
2017-08-22,1.34,1.34,1.26,1.28,23774300,397993000
2017-08-21,1.37,1.38,1.33,1.34,20152300,404724000
2017-08-20,1.4,1.42,1.36,1.37,15673200,412029000
2017-08-19,1.42,1.44,1.32,1.4,24769900,414746000
2017-08-18,1.54,1.54,1.4,1.42,26841700,445570000
2017-08-17,1.6,1.61,1.52,1.55,25713300,459650000
2017-08-16,1.64,1.64,1.59,1.6,24022000,468739000
2017-08-15,1.66,1.81,1.59,1.65,58304700,469853000
2017-08-14,1.61,1.67,1.54,1.66,39205300,453328000
2017-08-13,1.67,1.68,1.58,1.62,40514200,465780000
2017-08-12,1.79,1.82,1.66,1.67,38131800,495957000
2017-08-11,1.83,1.87,1.77,1.79,49178400,504138000
2017-08-10,1.83,1.89,1.83,1.83,43519300,501169000
2017-08-09,1.88,1.95,1.81,1.83,36813700,510157000
2017-08-08,1.81,2.04,1.79,1.88,76270800,487777000
2017-08-07,1.73,1.83,1.71,1.81,46022400,462733000
2017-08-06,1.9,1.9,1.72,1.74,38436700,501778000
2017-08-05,1.8,1.98,1.76,1.91,52324800,471268000
2017-08-04,1.8,1.85,1.8,1.81,34183300,467884000
2017-08-03,1.78,1.81,1.75,1.8,25878000,457634000
2017-08-02,1.78,1.82,1.76,1.78,28880800,455223000
2017-08-01,1.75,1.81,1.68,1.78,39175500,442971000
2017-07-31,1.77,1.79,1.71,1.74,29657700,446574000
2017-07-30,1.83,1.84,1.71,1.78,27580200,455967000
2017-07-29,1.83,1.84,1.66,1.83,44021100,452704000
2017-07-28,1.96,2.01,1.85,1.85,64730400,481392000
2017-07-27,1.75,1.98,1.73,1.95,69371700,425312000
2017-07-26,1.64,1.74,1.47,1.74,48693200,396121000
2017-07-25,1.88,1.89,1.55,1.65,42547000,448823000
2017-07-24,1.88,1.95,1.82,1.87,36585400,445118000
2017-07-23,1.96,2.14,1.74,1.87,60205000,459832000
2017-07-22,1.82,2.0,1.81,1.96,41809000,421938000
2017-07-21,1.76,2.02,1.73,1.82,58164900,404351000
2017-07-20,1.57,1.76,1.57,1.74,45949800,357758000
2017-07-19,1.7,1.79,1.54,1.56,55057600,384563000
2017-07-18,1.54,1.75,1.48,1.7,58108000,345694000
2017-07-17,1.25,1.57,1.25,1.54,62295100,278755000
2017-07-16,1.29,1.35,1.19,1.25,30802800,284276000
2017-07-15,1.55,1.55,1.3,1.3,34208800,339219000
2017-07-14,1.73,1.77,1.54,1.55,41025200,371675000
2017-07-13,2.08,2.13,1.71,1.74,51203900,443420000
2017-07-12,1.64,2.09,1.54,2.07,104621000,346085000
2017-07-11,1.79,1.82,1.42,1.66,111023000,372111000
2017-07-10,2.25,2.39,1.72,1.83,79608800,464611000
2017-07-09,2.6,2.69,2.19,2.29,87525100,491957000
2017-07-08,2.82,2.9,2.09,2.59,151162000,485188000
2017-07-07,3.35,3.35,2.71,2.8,96596500,566644000
2017-07-06,3.01,3.87,3.01,3.36,177463000,502465000
2017-07-05,3.36,3.52,2.73,3.0,124339000,547544000
2017-07-04,4.1,4.19,2.93,3.37,218559000,656753000
2017-07-03,2.72,5.4,2.63,4.09,414950000,-
2017-07-02,0.9965209999999999,2.88,0.8226479999999999,2.71,320452000,-
2017-07-01,1.03,1.07,0.989566,1.01,13613000,-
